ID,"Community Partner","Contact Name","Contact Email","Contact Phone"
15,"Community Partner 3","Mary Jones",mjones@ilikecommunity.ca,
13,"Community Partner 1","Jane Smith",janesmith@cp1.ca,
13,"Community Partner 1","Jane Smith",janesmith@cp1.ca,
17,"Community Partner 2","Cherry Blue",Cherryb@food.ca,
16,"Community Partner 2","Edward Chang",edc@food.ca,
16,"Community Partner 2","Edward Chang",edc@food.ca,
18,"Community Partner 4","Luke Warmwater",lukewarmwater@media.com,
21,"Community Partner 7","Ginger Rogers",ginger@dance.com,
15,"Community Partner 3","Mary Jones",mjones@ilikecommunity.ca,
19,"Community Partner 6",Huey,huey@neighbourhood.ca,
